title  Photometry data for T356120921 from search centered on 19 50 50.248 .48 04 51.09 using the apass calibration catalog
Median of Right Ascension  297.70578, rms   0.00271
Median of Declination       48.07639, rms   0.00197
Median of magcal_magdep        10.65, rms      0.26
Median of magcal_local_rms      0.16, rms      0.33
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2413385.656705	1895.523717	10.70	 0.09	14.69	297.70364	 48.07408	-78.4	0.183	i13045	152	557184	1080978432	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	4,6,9
2413408.682858	1895.586802	10.93	 0.14	14.18	297.70353	 48.07431	-29.9	0.147	i13161	152	557184	1080976384	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,6,7,9
2413436.638870	1895.663394	10.79	 0.11	14.77	297.70425	 48.07389	-72.0	0.282	i13301	152	557184	1349411840	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	0,4,6,7,9
2413436.656529	1895.663443	10.70	 0.09	14.15	297.70371	 48.07413	-56.9	0.337	i13302	152	557184	1080978432	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,4,6,9
2413439.745947	1895.671907	10.74	 0.12	13.39	297.70363	 48.07419	-53.5	0.253	i13366	152	557056	1080978432	576	0.000700	15,19	10,11,13,14,17,18,19,21,22,30	6,9
2413441.569401	1895.676902	10.73	 0.11	14.22	297.70382	 48.07366	-68.1	0.087	i13421	152	557184	1349413888	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,28,30	4,6,9
2413468.526225	1895.750757	10.88	 0.09	14.63	297.70347	 48.07422	-56.7	0.266	i13578	152	557184	1080976384	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,4,6,7,9
2413503.532598	1895.846665	10.56	 0.10	13.47	297.70406	 48.07429	 67.7	0.008	i13780	152	557184	1080977408	529	0.000700	7,15,19	11,13,14,17,18,19,21,22,30	0,4,9
2413586.923329	1896.074927	10.58	 0.15	14.14	297.70411	 48.07416	 18.9	0.076	i14350	152	557184	1080976384	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,6,7,9
2413614.910274	1896.151394	10.60	 0.20	15.69	297.70358	 48.07417	 -8.0	0.027	i14520	151	557184	1349411840	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	0,6,7,9
2413643.810531	1896.230357	10.77	 0.23	15.21	297.70397	 48.07423	 81.1	0.177	i14711	151	557184	1080978432	577	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,6,9
2413672.832383	1896.309651	10.51	 0.12	12.78	297.70369	 48.07414	-45.7	0.070	i14981	151	557184	1080975360	657	0.000700	7,15,19	13,14,17,18,19,21,22,30	0,4,7,9
2413699.750349	1896.383198	10.74	 0.13	13.87	297.70391	 48.07420	 86.7	0.222	i15155	151	557184	1080977408	528	0.000700	7,15,19	11,13,14,17,18,19,21,22,30	4,9
2413707.696950	1896.404910	10.68	 0.16	14.11	297.70404	 48.07407	-52.7	0.150	i15182	152	557184	1080976384	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,4,6,7,9
2413730.730159	1896.467842	10.52	 0.09	14.25	297.70416	 48.07404	-65.8	0.270	i15328	152	557184	1349411840	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	0,4,6,7,9
2413759.645063	1896.546844	10.60	 0.12	14.05	297.70416	 48.07371	-75.6	0.299	i15492	152	557184	1349411840	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	0,6,7,9
2413769.670512	1896.574236	10.56	 0.17	14.31	297.70366	 48.07424	 48.5	0.039	i15539	152	557184	1080976384	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,4,6,7,9
2413791.640259	1896.634263	10.70	 0.09	15.00	297.70400	 48.07447	 74.3	0.078	i15728	151	557184	1349411840	720	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	4,6,7,9
2413807.667041	1896.678052	10.69	 0.12	14.73	297.70394	 48.07433	-45.3	0.124	i15872	152	557184	1080976384	720	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	4,6,7,9
2413814.536306	1896.696821	10.82	 0.20	13.34	297.70395	 48.07390	-45.6	0.458	i15924	151	268992640	1080713216	657	0.000700	7,15,19,28	13,14,17,19,21,22,30	0,4,7,9
2413823.658001	1896.721743	10.51	 0.11	14.47	297.70397	 48.07431	-77.3	0.180	i15963	151	557184	1080975360	657	0.000700	7,15,19	13,14,17,18,19,21,22,30	0,4,7,9
2413852.497924	1896.800541	10.34	 0.18	14.09	297.70382	 48.07428	 64.2	0.030	i16191	151	557184	1080978432	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,4,6,9
2413861.557845	1896.825295	10.45	 0.13	13.21	297.70463	 48.07522	-23.4	0.290	i16385	152	557184	1349410816	656	0.000700	7,15,19	13,14,17,18,19,21,22,28,30	4,7,9
2413881.443585	1896.879627	10.66	 0.10	14.49	297.70392	 48.07423	 75.3	0.093	i16569	152	557184	1080976384	720	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	4,6,7,9
2413905.525700	1896.945425	10.63	 0.09	14.65	297.70415	 48.07429	 71.1	0.179	i16731	152	557184	1080978432	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	4,6,9
2413937.473474	1897.032804	10.68	 0.10	14.61	297.70405	 48.07427	 75.0	0.270	i17048	152	557184	1080978432	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	4,6,9
2413974.940813	1897.135454	10.56	 0.18	12.90	297.70398	 48.07414	 89.5	0.271	i17375	152	557184	1080976384	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,4,6,7,9
2414030.784364	1897.288450	10.90	 0.17	13.82	297.70443	 48.07409	 72.5	0.231	i17853	151	557184	1080976384	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,6,7,9
2414034.843190	1897.299570	10.49	 0.14	14.44	297.70392	 48.07405	  4.6	0.292	i17934	151	557184	1080978432	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	0,4,6,9
2414064.698709	1897.381366	10.68	 0.10	13.52	297.70416	 48.07417	 72.2	0.196	i18124	152	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2414090.597135	1897.452321	10.56	 0.17	12.89	297.70459	 48.07420	-78.8	0.417	i18212	152	557056	1080975360	640	0.000700	15,19	13,14,17,18,19,21,22,30	7,9
2414115.625114	1897.520891	10.70	 0.12	14.17	297.70409	 48.07404	-72.9	0.341	i18331	131	557184	1080976384	705	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	0,6,7,9
2414142.713438	1897.595105	10.57	 0.09	14.61	297.70409	 48.07440	 75.1	0.069	i18428	151	557184	1080978432	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	4,6,9
2414154.735036	1897.628041	10.74	 0.11	15.32	297.70394	 48.07427	-54.5	0.233	i18557	152	557184	1080978432	592	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,30	4,6,9
2414176.611700	1897.687977	10.56	 0.24	14.50	297.70355	 48.07456	 69.0	0.129	i18711	131	557184	1349410816	656	0.000700	7,15,19	13,14,17,18,19,21,22,28,30	4,7,9
2414185.804743	1897.713164	10.69	 0.40	13.20	297.70292	 48.07448	-88.5	0.510	i18901	151	268992512	1080713216	640	0.000700	15,19,28	13,14,17,19,21,22,30	7,9
2414187.674233	1897.718286	10.64	 0.28	14.20	297.70423	 48.07455	 -9.1	0.144	i18939	151	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2414206.589258	1897.770108	10.50	 0.15	14.10	297.70398	 48.07437	-81.9	0.101	i19200	152	557184	1080976384	720	0.000700	7,15,19	10,13,14,17,18,19,21,22,30	4,6,7,9
2414233.548823	1897.843969	10.58	 0.16	15.22	297.70266	 48.07408	-84.0	0.064	i19445	152	557184	1349411840	720	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	4,6,7,9
2414265.472330	1897.931431	10.50	 0.15	14.37	297.70387	 48.07445	-59.8	0.080	i19694	152	557184	1349410816	641	0.000700	7,15,19	13,14,17,18,19,21,22,28,30	0,7,9
2414291.468746	1898.002654	10.66	 0.08	13.88	297.70386	 48.07432	-88.2	0.122	i19873	151	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2414291.510298	1898.002768	10.66	 0.08	14.03	297.70379	 48.07429	 77.8	0.274	i19876	152	557184	1080977408	528	0.000700	7,15,19	11,13,14,17,18,19,21,22,30	4,9
2414303.444380	1898.035464	10.35	 0.28	14.01	297.70379	 48.07439	-86.7	0.204	i20032	152	557184	1080975360	657	0.000700	7,15,19	13,14,17,18,19,21,22,30	0,4,7,9
2414355.844650	1898.179026	10.78	 0.12	13.42	297.70434	 48.07412	-80.0	0.421	i20389	151	557184	1080975360	656	0.000700	7,15,19	13,14,17,18,19,21,22,30	4,7,9
2414401.846072	1898.305058	10.23	 0.23	15.00	297.70041	 48.07468	-73.9	0.561	i20740	152	42500224	1080978435	592	0.000700	7,15,19,23,25	0,1,10,11,13,14,17,18,19,21,22,30	4,6,9
2414424.780343	1898.367891	10.68	 0.10	14.61	297.70471	 48.07464	-53.5	0.208	i20792	152	557184	1349411840	721	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	0,4,6,7,9
2414478.831337	1898.515976	10.52	 0.24	11.97	297.70359	 48.07458	 12.9	0.266	i20994	152	268992640	1080713216	656	0.000700	7,15,19,28	13,14,17,19,21,22,30	4,7,9
2414560.539964	1898.739836	10.53	 0.12	13.57	297.70367	 48.07433	 16.4	0.125	i21242	152	557056	1080975360	640	0.000700	15,19	13,14,17,18,19,21,22,30	7,9
2414565.655668	1898.753851	10.50	 0.11	14.31	297.70356	 48.07492	-67.6	0.323	i21320	151	557184	1349411840	720	0.000700	7,15,19	10,13,14,17,18,19,21,22,28,30	4,6,7,9
2414569.617613	1898.764706	10.79	 0.14	14.72	297.70488	 48.07458	 60.0	0.075	i21344	151	557184	1349413888	593	0.000700	7,15,19	10,11,13,14,17,18,19,21,22,28,30	0,4,6,9
